ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/50 Power Ready-to-Use OpenClaw Prompts.md,50 Power Ready-to-Use OpenClaw Prompts.md,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/50 Power Ready-to-Use OpenClaw Prompts.md,50 Power Ready-to-Use OpenClaw Prompts.md,file-type,document,High,Extension .md matched the static type lookup.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/50 Power Ready-to-Use OpenClaw Prompts.md,50 Power Ready-to-Use OpenClaw Prompts.md,staleness,fresh,High,Modified 66d ago (< 180d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.cursor/config.json,.cursor/config.json,project-grouping,workspace:.cursor,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.cursor/config.json,.cursor/config.json,file-type,data,High,Extension .json matched the static type lookup.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.cursor/config.json,.cursor/config.json,staleness,stale,High,Modified 372d ago (365-730d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/TISSOT.pdf,TISSOT.pdf,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/TISSOT.pdf,TISSOT.pdf,file-type,document,High,Extension .pdf matched the static type lookup.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/TISSOT.pdf,TISSOT.pdf,staleness,fresh,High,Modified 48d ago (< 180d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Governo da Paraíba.pdf,Governo da Paraíba.pdf,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Governo da Paraíba.pdf,Governo da Paraíba.pdf,file-type,document,High,Extension .pdf matched the static type lookup.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Governo da Paraíba.pdf,Governo da Paraíba.pdf,staleness,fresh,High,Modified 109d ago (< 180d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Analysis of the Kraken Machine Learning Project.md,Analysis of the Kraken Machine Learning Project.md,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Analysis of the Kraken Machine Learning Project.md,Analysis of the Kraken Machine Learning Project.md,file-type,document,High,Extension .md matched the static type lookup.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Analysis of the Kraken Machine Learning Project.md,Analysis of the Kraken Machine Learning Project.md,staleness,aging,High,Modified 323d ago (180-365d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.DS_Store,.DS_Store,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.DS_Store,.DS_Store,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/.DS_Store,.DS_Store,staleness,fresh,High,Modified 1d ago (< 180d).,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Beats_Source.app.backup-2026-07-30-1709/Contents/_CodeSignature/CodeResources,Beats_Source.app.backup-2026-07-30-1709/Contents/_CodeSignature/CodeResources,project-grouping,workspace:Beats_Source.app.backup-2026-07-30-1709,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160130,INV-20260802-141614,Desktop,/Users/eduardofgiovannini/Desktop/Beats_Source.app.backup-2026-07-30-1709/Contents/_CodeSignature/CodeResources,Beats_Source.app.backup-2026-07-30-1709/Contents/_CodeSignature/CodeResources,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
