ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/IMG_1482.HEIC,IMG_1482.HEIC,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/IMG_1482.HEIC,IMG_1482.HEIC,file-type,image,High,Extension .heic matched the static type lookup.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/IMG_1482.HEIC,IMG_1482.HEIC,staleness,fresh,High,Modified 0d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/eduardo.pdf,eduardo.pdf,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/eduardo.pdf,eduardo.pdf,file-type,document,High,Extension .pdf matched the static type lookup.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/eduardo.pdf,eduardo.pdf,staleness,fresh,High,Modified 9d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,project-grouping,workspace:SCREENSHOTS,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,file-type,image,High,Extension .png matched the static type lookup.,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,SCREENSHOTS/Screenshot 2026-07-30 at 10.11.36 PM.png,staleness,fresh,High,Modified 2d ago (< 30d).,false
CLS-20260802-151728,INV-20260802-141749,Downloads,/Users/eduardofgiovannini/Downloads/SCREENSHOTS/Screenshot 2026-07-28 at 6.53.20 PM.png,SCREENSHOTS/Screenshot 2026-07-28 at 6.53.20 PM.png,project-grouping,workspace:SCREENSHOTS,High,Deterministic path read: top-level folder segment under the target root.,false
