ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/.DS_Store,.DS_Store,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/.DS_Store,.DS_Store,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/.localized,.localized,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/.localized,.localized,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.Media Preferences.plist,TV/Media.localized/.Media Preferences.plist,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.Media Preferences.plist,TV/Media.localized/.Media Preferences.plist,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/id.strings,TV/Media.localized/.localized/id.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/id.strings,TV/Media.localized/.localized/id.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en_CA.strings,TV/Media.localized/.localized/en_CA.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en_CA.strings,TV/Media.localized/.localized/en_CA.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/es.strings,TV/Media.localized/.localized/es.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/es.strings,TV/Media.localized/.localized/es.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/no.strings,TV/Media.localized/.localized/no.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/no.strings,TV/Media.localized/.localized/no.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/zh_TW.strings,TV/Media.localized/.localized/zh_TW.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/zh_TW.strings,TV/Media.localized/.localized/zh_TW.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/fi.strings,TV/Media.localized/.localized/fi.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/fi.strings,TV/Media.localized/.localized/fi.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/ru.strings,TV/Media.localized/.localized/ru.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/ru.strings,TV/Media.localized/.localized/ru.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en.strings,TV/Media.localized/.localized/en.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/en.strings,TV/Media.localized/.localized/en.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/es_419.strings,TV/Media.localized/.localized/es_419.strings,project-grouping,workspace:TV,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160123,INV-20260802-141928,Movies,/Users/eduardofgiovannini/Movies/TV/Media.localized/.localized/es_419.strings,TV/Media.localized/.localized/es_419.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
