ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/Music/Andrade Downloads/Andrade Downloads/CD MUÍDO DE VAQUEJADA AO VIVO - JUNHO 2025 @AndradeDownloads.m4a,Music/Media.localized/Music/Andrade Downloads/Andrade Downloads/CD MUÍDO DE VAQUEJADA AO VIVO - JUNHO 2025 @AndradeDownloads.m4a,project-grouping,workspace:Music,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/Music/Andrade Downloads/Andrade Downloads/CD MUÍDO DE VAQUEJADA AO VIVO - JUNHO 2025 @AndradeDownloads.m4a,Music/Media.localized/Music/Andrade Downloads/Andrade Downloads/CD MUÍDO DE VAQUEJADA AO VIVO - JUNHO 2025 @AndradeDownloads.m4a,file-type,audio,High,Extension .m4a matched the static type lookup.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.Media Preferences.plist,Music/Media.localized/.Media Preferences.plist,project-grouping,workspace:Music,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.Media Preferences.plist,Music/Media.localized/.Media Preferences.plist,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/id.strings,Music/Media.localized/.localized/id.strings,project-grouping,workspace:Music,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/id.strings,Music/Media.localized/.localized/id.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/es.strings,Music/Media.localized/.localized/es.strings,project-grouping,workspace:Music,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/es.strings,Music/Media.localized/.localized/es.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/no.strings,Music/Media.localized/.localized/no.strings,project-grouping,workspace:Music,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160137,INV-20260802-142008,Music,/Users/eduardofgiovannini/Music/Music/Media.localized/.localized/no.strings,Music/Media.localized/.localized/no.strings,file-type,unclassified-type,Low,Extension 'strings' is not in the static type lookup.,true
