ClassificationID,SourceInventoryID,TargetName,FullPath,RelativePath,Dimension,ProposedLabel,ConfidenceTier,ConfidenceReason,RequiresReview
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/logo-cutout.png,logo-cutout.png,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/logo-cutout.png,logo-cutout.png,file-type,image,High,Extension .png matched the static type lookup.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/.DS_Store,.DS_Store,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/.DS_Store,.DS_Store,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/.localized,.localized,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/.localized,.localized,file-type,unclassified-type,Low,Extension '[none]' is not in the static type lookup.,true
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/new_logo-cutout-cutout.png,new_logo-cutout-cutout.png,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/new_logo-cutout-cutout.png,new_logo-cutout-cutout.png,file-type,image,High,Extension .png matched the static type lookup.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/MacHealth_OS-cutout.png,MacHealth_OS-cutout.png,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/MacHealth_OS-cutout.png,MacHealth_OS-cutout.png,file-type,image,High,Extension .png matched the static type lookup.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/A-cutout.png,A-cutout.png,project-grouping,workspace:root,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/A-cutout.png,A-cutout.png,file-type,image,High,Extension .png matched the static type lookup.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/Photos.sqlite.lock,Photos Library.photoslibrary/database/Photos.sqlite.lock,project-grouping,workspace:Photos Library.photoslibrary,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/Photos.sqlite.lock,Photos Library.photoslibrary/database/Photos.sqlite.lock,file-type,unclassified-type,Low,Extension 'lock' is not in the static type lookup.,true
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/Photos.sqlite,Photos Library.photoslibrary/database/Photos.sqlite,project-grouping,workspace:Photos Library.photoslibrary,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/Photos.sqlite,Photos Library.photoslibrary/database/Photos.sqlite,file-type,unclassified-type,Low,Extension 'sqlite' is not in the static type lookup.,true
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/photos.db,Photos Library.photoslibrary/database/photos.db,project-grouping,workspace:Photos Library.photoslibrary,High,Deterministic path read: top-level folder segment under the target root.,false
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/photos.db,Photos Library.photoslibrary/database/photos.db,file-type,unclassified-type,Low,Extension 'db' is not in the static type lookup.,true
CLS-20260802-160143,INV-20260802-141844,Pictures,/Users/eduardofgiovannini/Pictures/Photos Library.photoslibrary/database/search/Spotlight/SpotlightKnowledgeEvents/index.V2/journals/12/cs_pc_c/skg_events_27BD14C4-2DAC-4115-A070-C95C60893A64_16777226_journalAttr_1269.toc,Photos Library.photoslibrary/database/search/Spotlight/SpotlightKnowledgeEvents/index.V2/journals/12/cs_pc_c/skg_events_27BD14C4-2DAC-4115-A070-C95C60893A64_16777226_journalAttr_1269.toc,project-grouping,workspace:Photos Library.photoslibrary,High,Deterministic path read: top-level folder segment under the target root.,false
